grounding,correctness,tone,actionability,notes,tweet_id,judge_mode
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199864, Requested 741. Please try again in 4m21.36s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2935879,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199863, Requested 856. Please try again in 5m10.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2540272,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199863, Requested 838. Please try again in 5m2.832s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",77523,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199863, Requested 723. Please try again in 4m13.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1368964,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199862, Requested 844. Please try again in 5m4.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",453232,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199862, Requested 870. Please try again in 5m16.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",519696,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199862, Requested 854. Please try again in 5m9.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",795223,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199861, Requested 806. Please try again in 4m48.144s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",63888,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199861, Requested 725. Please try again in 4m13.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1569584,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199861, Requested 717. Please try again in 4m9.696s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",937317,real
,,,,"judge call failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01kzjppbp6exhvs57a94d27pcj` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 199860, Requested 834. Please try again in 4m59.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",2379859,real
